seed,image,cluster,step,labels,chosen,chosen_cluster,score_margin,chosen_score,score_argmax,chosen_is_score_argmax,full_res_argmin,chosen_is_min_full_res,chosen_full_res,min_full_res
0,kodim01,0,1,phys|robust,phys,datos,0.25042152404785156,-9.74968433380127,phys,1,phys,1,0.0005032111657783389,0.0005032111657783389
0,kodim01,0,2,phys|robust,phys,datos,0.3448944091796875,-9.864922523498535,phys,1,phys,1,0.0005303339567035437,0.0005303339567035437
0,kodim01,0,3,phys|robust,phys,datos,0.5373744964599609,-9.471670150756836,phys,1,phys,1,9.979555761674419e-05,9.979555761674419e-05
0,kodim01,0,4,phys|robust,phys,datos,0.27251529693603516,-9.650789260864258,phys,1,phys,1,0.00022027162776794285,0.00022027162776794285
0,kodim01,0,5,phys|robust,phys,datos,0.5545196533203125,-9.721015930175781,phys,1,phys,1,0.00010492747242096812,0.00010492747242096812
0,kodim01,0,6,phys|robust,phys,datos,0.38888072967529297,-9.639017105102539,phys,1,phys,1,0.000105793857073877,0.000105793857073877
0,kodim01,0,7,phys|robust,phys,datos,0.4958171844482422,-9.831036567687988,phys,1,phys,1,9.662560478318483e-05,9.662560478318483e-05
0,kodim01,0,8,phys|robust,phys,datos,0.19179344177246094,-9.991150856018066,phys,1,phys,1,0.0003963567141909152,0.0003963567141909152
0,kodim01,1,1,conv|prox_tv,prox_tv,suavidad,0.3081388473510742,-9.658767700195312,prox_tv,1,prox_tv,1,0.00021358921367209405,0.00021358921367209405
0,kodim01,1,2,conv|prox_tv,prox_tv,suavidad,0.18961620330810547,-9.56605052947998,prox_tv,1,prox_tv,1,0.0001366847864119336,0.0001366847864119336
0,kodim01,1,3,conv|prox_tv,conv,suavidad,0.6283884048461914,-9.394756317138672,conv,1,conv,1,8.111500937957317e-05,8.111500937957317e-05
0,kodim01,1,4,conv|prox_tv,prox_tv,suavidad,0.13803386688232422,-9.667304992675781,prox_tv,1,prox_tv,1,7.141751848394051e-05,7.141751848394051e-05
0,kodim01,1,5,conv|prox_tv,prox_tv,suavidad,0.16043472290039062,-9.719904899597168,prox_tv,1,prox_tv,1,0.00015487421478610486,0.00015487421478610486
0,kodim01,1,6,conv|prox_tv,conv,suavidad,0.5569963455200195,-9.524103164672852,conv,1,conv,1,9.34593117563054e-05,9.34593117563054e-05
0,kodim01,1,7,conv|prox_tv,conv,suavidad,0.530879020690918,-9.640783309936523,conv,1,conv,1,0.00015920677105896175,0.00015920677105896175
0,kodim01,1,8,conv|prox_tv,conv,suavidad,0.6927738189697266,-9.516794204711914,conv,1,conv,1,0.00012276697088964283,0.00012276697088964283
0,kodim01,2,1,conv_lowtv|wavelet|inr,conv_lowtv,frecuencia,0.7434968948364258,-9.620205879211426,conv_lowtv,1,conv_lowtv,1,0.0002378065837547183,0.0002378065837547183
